estado,codigo_estado,data,semana_epidem,populacao,populacao_2019,is_last,is_repeated,casos_confirmados,casos_por_100k_habitantes,data_atualizacao,taxa_mortalidade,obitos,estado,casos_novos,obitos_novos
São Paulo,35.0,2020-09-18,202038,46289333.0,45919049.0,False,False,924532,1997.28953,2020-09-18,0.0364,33678,SP,7711,206
São Paulo,35.0,2020-09-19,202038,46289333.0,45919049.0,False,False,931673,2012.7164100000002,2020-09-19,0.0364,33927,SP,7141,249
São Paulo,35.0,2020-09-20,202039,46289333.0,45919049.0,False,False,935300,2020.5519100000001,2020-09-20,0.0363,33952,SP,3627,25
São Paulo,35.0,2020-09-21,202039,46289333.0,45919049.0,False,False,937332,2024.9416899999999,2020-09-21,0.0363,33984,SP,2032,32
São Paulo,35.0,2020-09-22,202039,46289333.0,45919049.0,False,False,945422,2042.4187100000001,2020-09-22,0.0362,34266,SP,8090,282
São Paulo,35.0,2020-09-23,202039,46289333.0,45919049.0,False,False,951973,2056.571,2020-09-23,0.0362,34492,SP,6551,226
São Paulo,35.0,2020-09-24,202039,46289333.0,45919049.0,False,False,958240,2070.1097600000003,2020-09-24,0.0362,34677,SP,6267,185
São Paulo,35.0,2020-09-25,202039,46289333.0,45919049.0,False,False,964921,2084.5428899999997,2020-09-25,0.0361,34877,SP,6681,200
São Paulo,35.0,2020-09-26,202039,46289333.0,45919049.0,False,False,970888,2097.43355,2020-09-26,0.0361,35063,SP,5967,186
São Paulo,35.0,2020-09-27,202040,46289333.0,45919049.0,False,False,972237,2100.34783,2020-09-27,0.0361,35108,SP,1349,45
São Paulo,35.0,2020-09-28,202040,46289333.0,45919049.0,False,False,973142,2102.30292,2020-09-28,0.0361,35125,SP,905,17
São Paulo,35.0,2020-09-29,202040,46289333.0,45919049.0,False,False,979519,2116.07931,2020-09-29,0.0361,35391,SP,6377,266
São Paulo,35.0,2020-09-30,202040,46289333.0,45919049.0,False,False,985628,2129.27674,2020-09-30,0.0361,35622,SP,6109,231
São Paulo,35.0,2020-10-01,202040,46289333.0,45919049.0,False,False,991725,2142.4482399999997,2020-10-01,0.0361,35804,SP,6097,182
São Paulo,35.0,2020-10-02,202040,46289333.0,45919049.0,False,False,997333,2154.5633399999997,2020-10-02,0.0361,35956,SP,5608,152
São Paulo,35.0,2020-10-03,202040,46289333.0,45919049.0,False,False,1003429,2167.73268,2020-10-03,0.036,36136,SP,6096,180
São Paulo,35.0,2020-10-04,202041,46289333.0,45919049.0,False,False,1003902,2168.75452,2020-10-04,0.036,36178,SP,473,42
São Paulo,35.0,2020-10-05,202041,46289333.0,45919049.0,False,False,1004579,2170.21706,2020-10-05,0.0361,36220,SP,677,42
São Paulo,35.0,2020-10-06,202041,46289333.0,45919049.0,False,False,1010839,2183.7406899999996,2020-10-06,0.0361,36490,SP,6260,270
São Paulo,35.0,2020-10-07,202041,46289333.0,45919049.0,False,False,1016755,2196.52117,2020-10-07,0.0361,36669,SP,5916,179
São Paulo,35.0,2020-10-08,202041,46289333.0,45919049.0,False,False,1022404,2208.72485,2020-10-08,0.0361,36884,SP,5649,215
São Paulo,35.0,2020-10-09,202041,46289333.0,45919049.0,False,False,1028190,2221.22449,2020-10-09,0.0361,37068,SP,5786,184
São Paulo,35.0,2020-10-10,202041,46289333.0,45919049.0,False,False,1034816,2235.5388,2020-10-10,0.036,37223,SP,6626,155
São Paulo,35.0,2020-10-11,202042,46289333.0,45919049.0,False,False,1037660,2241.68277,2020-10-11,0.0359,37256,SP,2844,33
São Paulo,35.0,2020-10-12,202042,46289333.0,45919049.0,False,False,1038344,2243.16043,2020-10-12,0.0359,37279,SP,684,23
São Paulo,35.0,2020-10-13,202042,46289333.0,45919049.0,False,False,1039029,2244.64025,2020-10-13,0.0359,37314,SP,685,35
São Paulo,35.0,2020-10-14,202042,46289333.0,45919049.0,False,False,1045060,2257.66917,2020-10-14,0.0359,37541,SP,6031,227
São Paulo,35.0,2020-10-15,202042,46289333.0,45919049.0,False,False,1051613,2271.82578,2020-10-15,0.0358,37690,SP,6553,149
São Paulo,35.0,2020-10-16,202042,46289333.0,45919049.0,False,False,1057240,2283.98193,2020-10-16,0.0358,37870,SP,5627,180
São Paulo,35.0,2020-10-17,202042,46289333.0,45919049.0,False,False,1062634,2295.63472,2020-10-17,0.0358,37992,SP,5394,122
São Paulo,35.0,2020-10-18,202043,46289333.0,45919049.0,False,False,1063602,2297.72591,2020-10-18,0.0357,38020,SP,968,28
São Paulo,35.0,2020-10-19,202043,46289333.0,45919049.0,False,False,1064039,2298.66998,2020-10-19,0.0357,38035,SP,437,15
São Paulo,35.0,2020-10-20,202043,46289333.0,45919049.0,False,False,1068962,2309.30526,2020-10-20,0.0358,38246,SP,4923,211
São Paulo,35.0,2020-10-21,202043,46289333.0,45919049.0,False,False,1073261,2318.59249,2020-10-21,0.0358,38371,SP,4299,125
São Paulo,35.0,2020-10-22,202043,46289333.0,45919049.0,False,False,1076939,2326.53817,2020-10-22,0.0357,38482,SP,3678,111
São Paulo,35.0,2020-10-23,202043,46289333.0,45919049.0,False,False,1083641,2341.01667,2020-10-23,0.0356,38608,SP,6702,126
São Paulo,35.0,2020-10-24,202043,46289333.0,45919049.0,False,False,1089255,2353.14473,2020-10-24,0.0356,38726,SP,5614,118
São Paulo,35.0,2020-10-25,202044,46289333.0,45919049.0,False,False,1091980,2359.0316199999997,2020-10-25,0.0355,38747,SP,2725,21
São Paulo,35.0,2020-10-26,202044,46289333.0,45919049.0,False,False,1092843,2360.8959800000002,2020-10-26,0.0355,38753,SP,863,6
São Paulo,35.0,2020-10-27,202044,46289333.0,45919049.0,False,False,1098207,2372.48396,2020-10-27,0.0354,38885,SP,5364,132
São Paulo,35.0,2020-10-28,202044,46289333.0,45919049.0,False,False,1103582,2384.09571,2020-10-28,0.0353,39007,SP,5375,122
São Paulo,35.0,2020-10-29,202044,46289333.0,45919049.0,False,False,1108860,2395.4979,2020-10-29,0.0353,39119,SP,5278,112
São Paulo,35.0,2020-10-30,202044,46289333.0,45919049.0,False,False,1113788,2406.1439800000003,2020-10-30,0.0352,39255,SP,4928,136
São Paulo,35.0,2020-10-31,202044,46289333.0,45919049.0,False,False,1116127,2411.19698,2020-10-31,0.0352,39311,SP,2339,56
São Paulo,35.0,2020-11-01,202045,46289333.0,45919049.0,False,False,1117147,2413.40051,2020-11-01,0.0352,39331,SP,1020,20
São Paulo,35.0,2020-11-02,202045,46289333.0,45919049.0,False,False,1117795,2414.8004,2020-11-02,0.0352,39346,SP,648,15
São Paulo,35.0,2020-11-03,202045,46289333.0,45919049.0,False,False,1118544,2416.41849,2020-11-03,0.0352,39364,SP,749,18
São Paulo,35.0,2020-11-04,202045,46289333.0,45919049.0,False,False,1123299,2426.69083,2020-11-04,0.0352,39549,SP,4755,185
São Paulo,35.0,2020-11-05,202045,46289333.0,45919049.0,False,False,1125936,2432.38761,2020-11-05,0.0353,39717,SP,2637,168
São Paulo,35.0,2020-11-06,202045,46289333.0,45919049.0,False,True,1125936,2432.38761,2020-11-05,0.0353,39717,SP,0,0
